,approximate_spotted_by,health,spotted,shots_fired,FIRE,velocity,game_time,tick,steamid,name
146,[],100,False,0,False,197.22467,1077.5938,2214,76561198201620490,broky
155,[],100,False,0,False,224.12651,1077.6094,2215,76561198995880877,zont1x
156,[],100,False,0,False,197.22467,1077.6094,2215,76561198201620490,broky
165,[],100,False,0,False,225.19856,1077.625,2216,76561198995880877,zont1x
166,[],100,False,0,False,197.22467,1077.625,2216,76561198201620490,broky
175,[],100,False,0,False,226.3997,1077.6406,2217,76561198995880877,zont1x
176,[],100,False,0,False,181.1975,1077.6406,2217,76561198201620490,broky
185,[],100,False,0,False,227.68408,1077.6562,2218,76561198995880877,zont1x
186,[],100,False,0,False,166.47552,1077.6562,2218,76561198201620490,broky
195,[],100,False,0,False,229.02928,1077.6719,2219,76561198995880877,zont1x
196,[],100,False,0,False,152.94788,1077.6719,2219,76561198201620490,broky
205,[],100,False,0,False,229.00444,1077.6875,2220,76561198995880877,zont1x
206,[],100,False,0,False,149.99094,1077.6875,2220,76561198201620490,broky
215,[],100,False,0,False,228.66783,1077.7031,2221,76561198995880877,zont1x
216,[],100,False,0,False,147.49557,1077.7031,2221,76561198201620490,broky
225,[],100,False,0,False,228.7901,1077.7188,2222,76561198995880877,zont1x
226,[],100,False,0,False,114.03159,1077.7188,2222,76561198201620490,broky
235,[],100,False,0,False,218.50394,1077.7344,2223,76561198995880877,zont1x
236,[],100,False,0,False,114.740974,1077.7344,2223,76561198201620490,broky
245,[],100,False,0,False,210.68477,1077.75,2224,76561198995880877,zont1x
246,[],100,False,0,False,112.54063,1077.75,2224,76561198201620490,broky
255,[],100,False,0,False,205.05927,1077.7656,2225,76561198995880877,zont1x
256,[],100,False,0,False,108.33218,1077.7656,2225,76561198201620490,broky
265,[],100,False,0,False,201.29291,1077.7812,2226,76561198995880877,zont1x
266,[],100,False,0,False,104.9547,1077.7812,2226,76561198201620490,broky
275,[],100,False,0,False,199.07707,1077.7969,2227,76561198995880877,zont1x
276,[],100,False,0,False,107.42043,1077.7969,2227,76561198201620490,broky
285,[],100,False,0,False,198.14217,1077.8125,2228,76561198995880877,zont1x
286,[],100,False,0,False,109.853004,1077.8125,2228,76561198201620490,broky
295,[],100,False,0,False,198.19621,1077.8281,2229,76561198995880877,zont1x
296,[],100,False,0,False,111.98132,1077.8281,2229,76561198201620490,broky
305,[],100,False,0,False,199.05779,1077.8438,2230,76561198995880877,zont1x
306,[],100,False,0,False,113.92801,1077.8438,2230,76561198201620490,broky
315,[],100,False,0,False,200.51282,1077.8594,2231,76561198995880877,zont1x
316,[],100,False,0,False,115.63789,1077.8594,2231,76561198201620490,broky
325,[],100,False,0,False,202.39656,1077.875,2232,76561198995880877,zont1x
326,[],100,False,0,False,117.002495,1077.875,2232,76561198201620490,broky
335,[],100,False,0,False,204.56384,1077.8906,2233,76561198995880877,zont1x
336,[],100,False,0,False,117.92459,1077.8906,2233,76561198201620490,broky
345,[],100,False,0,False,206.91261,1077.9062,2234,76561198995880877,zont1x
346,[],100,False,0,False,118.32184,1077.9062,2234,76561198201620490,broky
355,[],100,False,0,False,209.3571,1077.9219,2235,76561198995880877,zont1x
356,[],100,False,0,False,118.00624,1077.9219,2235,76561198201620490,broky
365,[],100,False,0,False,211.81325,1077.9375,2236,76561198995880877,zont1x
366,[],100,False,0,False,119.53596,1077.9375,2236,76561198201620490,broky
375,[],100,False,0,False,214.14761,1077.9531,2237,76561198995880877,zont1x
376,[],100,False,0,False,121.05283,1077.9531,2237,76561198201620490,broky
385,[],100,False,0,False,216.27586,1077.9688,2238,76561198995880877,zont1x
386,[],100,False,0,False,121.89329,1077.9688,2238,76561198201620490,broky
395,[],100,False,0,False,218.10593,1077.9844,2239,76561198995880877,zont1x
396,[],100,False,0,False,122.15039,1077.9844,2239,76561198201620490,broky
405,[],100,False,0,False,219.72949,1078.0,2240,76561198995880877,zont1x
406,[],100,False,0,False,121.95823,1078.0,2240,76561198201620490,broky
415,[],100,False,0,False,221.34587,1078.0156,2241,76561198995880877,zont1x
416,[],100,False,0,False,121.812256,1078.0156,2241,76561198201620490,broky
425,[],100,False,0,False,223.04102,1078.0312,2242,76561198995880877,zont1x
426,[],100,False,0,False,121.886795,1078.0312,2242,76561198201620490,broky
435,[],100,False,0,False,224.75487,1078.0469,2243,76561198995880877,zont1x
436,[],100,False,0,False,122.184135,1078.0469,2243,76561198201620490,broky
445,[],100,False,0,False,226.48523,1078.0625,2244,76561198995880877,zont1x
446,[],100,False,0,False,122.6047,1078.0625,2244,76561198201620490,broky
455,[],100,False,0,False,228.17397,1078.0781,2245,76561198995880877,zont1x
456,[],100,False,0,False,123.12334,1078.0781,2245,76561198201620490,broky
465,[],100,False,0,False,229.57414,1078.0938,2246,76561198995880877,zont1x
466,[],100,False,0,False,132.78833,1078.0938,2246,76561198201620490,broky
475,[],100,False,0,False,228.42203,1078.1094,2247,76561198995880877,zont1x
476,[],100,False,0,False,141.89444,1078.1094,2247,76561198201620490,broky
485,[],100,False,0,False,227.8157,1078.125,2248,76561198995880877,zont1x
486,[],100,False,0,False,148.39557,1078.125,2248,76561198201620490,broky
495,[],100,False,0,False,227.74959,1078.1406,2249,76561198995880877,zont1x
496,[],100,False,0,False,154.9996,1078.1406,2249,76561198201620490,broky
505,[],100,False,0,False,228.0738,1078.1562,2250,76561198995880877,zont1x
506,[],100,False,0,False,161.57466,1078.1562,2250,76561198201620490,broky
515,[],100,False,0,False,228.67786,1078.1719,2251,76561198995880877,zont1x
516,[],100,False,0,False,167.90388,1078.1719,2251,76561198201620490,broky
525,[],100,False,0,False,229.44719,1078.1875,2252,76561198995880877,zont1x
526,[],100,False,0,False,173.98564,1078.1875,2252,76561198201620490,broky
535,[],100,False,0,False,230.38289,1078.2031,2253,76561198995880877,zont1x
536,[],100,False,0,False,178.37578,1078.2031,2253,76561198201620490,broky
545,[],100,False,0,False,231.41093,1078.2188,2254,76561198995880877,zont1x
546,[],100,False,0,False,181.98085,1078.2188,2254,76561198201620490,broky
555,[],100,False,0,False,232.54005,1078.2344,2255,76561198995880877,zont1x
556,[],100,False,0,False,186.62054,1078.2344,2255,76561198201620490,broky
565,[],100,False,0,False,230.7958,1078.25,2256,76561198995880877,zont1x
566,[],100,False,0,False,190.54459,1078.25,2256,76561198201620490,broky
575,[],100,False,0,False,224.2747,1078.2656,2257,76561198995880877,zont1x
576,[],100,False,0,False,194.45706,1078.2656,2257,76561198201620490,broky
585,[],100,False,0,False,218.56383,1078.2812,2258,76561198995880877,zont1x
586,[],100,False,0,False,198.29367,1078.2812,2258,76561198201620490,broky
595,[],100,False,0,False,215.72867,1078.2969,2259,76561198995880877,zont1x
596,[],100,False,0,False,202.02017,1078.2969,2259,76561198201620490,broky
605,[],100,False,0,False,214.09251,1078.3125,2260,76561198995880877,zont1x
606,[],100,False,0,False,205.56699,1078.3125,2260,76561198201620490,broky
615,[],100,False,0,False,213.3913,1078.3281,2261,76561198995880877,zont1x
616,[],100,False,0,False,207.68445,1078.3281,2261,76561198201620490,broky
625,[],100,False,0,False,213.42395,1078.3438,2262,76561198995880877,zont1x
626,[],100,False,0,False,208.65067,1078.3438,2262,76561198201620490,broky
635,[],100,False,0,False,214.01189,1078.3594,2263,76561198995880877,zont1x
636,[],100,False,0,False,210.38757,1078.3594,2263,76561198201620490,broky
645,[],100,False,0,False,215.03357,1078.375,2264,76561198995880877,zont1x
646,[],100,False,0,False,212.0548,1078.375,2264,76561198201620490,broky
655,[],100,False,0,False,216.35547,1078.3906,2265,76561198995880877,zont1x
656,[],100,False,0,False,213.86075,1078.3906,2265,76561198201620490,broky
665,[],100,False,0,False,217.88551,1078.4062,2266,76561198995880877,zont1x
666,[],100,False,0,False,215.69579,1078.4062,2266,76561198201620490,broky
675,[],100,False,0,False,219.56097,1078.4219,2267,76561198995880877,zont1x
676,[],100,False,0,False,217.10854,1078.4219,2267,76561198201620490,broky
685,[],100,False,0,False,221.32416,1078.4375,2268,76561198995880877,zont1x
686,[],100,False,0,False,218.46722,1078.4375,2268,76561198201620490,broky
695,[],100,False,0,False,219.3839,1078.4531,2269,76561198995880877,zont1x
696,[],100,False,0,False,220.45847,1078.4531,2269,76561198201620490,broky
705,[],100,False,0,False,201.9131,1078.4688,2270,76561198995880877,zont1x
706,[],100,False,0,False,222.40685,1078.4688,2270,76561198201620490,broky
715,[],100,False,0,False,181.86526,1078.4844,2271,76561198995880877,zont1x
716,[],100,False,0,False,224.5028,1078.4844,2271,76561198201620490,broky
725,[],25,False,0,False,148.12277,1078.5,2272,76561198995880877,zont1x
726,[],100,False,0,False,226.60373,1078.5,2272,76561198201620490,broky
735,[],25,False,0,False,109.598595,1078.5156,2273,76561198995880877,zont1x
736,[],100,False,0,False,228.68318,1078.5156,2273,76561198201620490,broky
745,[],25,False,0,False,82.145935,1078.5312,2274,76561198995880877,zont1x
746,[],100,False,0,False,230.69543,1078.5312,2274,76561198201620490,broky
755,[],25,False,0,False,58.325497,1078.5469,2275,76561198995880877,zont1x
756,[],100,False,0,False,232.57597,1078.5469,2275,76561198201620490,broky
765,[],25,False,0,False,38.100124,1078.5625,2276,76561198995880877,zont1x
766,[],100,False,0,False,233.90134,1078.5625,2276,76561198201620490,broky
775,[],25,False,0,False,27.47273,1078.5781,2277,76561198995880877,zont1x
776,[],100,False,0,False,229.17407,1078.5781,2277,76561198201620490,broky
785,[],19,False,0,False,31.79457,1078.5938,2278,76561198995880877,zont1x
786,[],100,False,0,False,224.871,1078.5938,2278,76561198201620490,broky
795,[],19,False,0,False,43.189075,1078.6094,2279,76561198995880877,zont1x
796,[],100,False,0,False,225.5454,1078.6094,2279,76561198201620490,broky
805,[],19,False,1,False,56.381187,1078.625,2280,76561198995880877,zont1x
806,[],100,False,0,False,224.48466,1078.625,2280,76561198201620490,broky
815,[],19,False,1,True,70.096756,1078.6406,2281,76561198995880877,zont1x
816,[],100,False,0,False,130.866,1078.6406,2281,76561198201620490,broky
825,[],19,False,1,True,83.99144,1078.6562,2282,76561198995880877,zont1x
826,[],100,False,0,False,135.26462,1078.6562,2282,76561198201620490,broky
835,[],19,False,1,True,97.64206,1078.6719,2283,76561198995880877,zont1x
836,[],100,False,0,False,140.87509,1078.6719,2283,76561198201620490,broky
845,[],19,False,1,True,110.24199,1078.6875,2284,76561198995880877,zont1x
846,[],100,False,0,False,147.21083,1078.6875,2284,76561198201620490,broky
855,[],19,False,1,True,114.003876,1078.7031,2285,76561198995880877,zont1x
856,[],100,False,0,False,153.83098,1078.7031,2285,76561198201620490,broky
865,[],19,False,1,True,116.21879,1078.7188,2286,76561198995880877,zont1x
866,[],100,False,0,False,160.5563,1078.7188,2286,76561198201620490,broky
875,[],19,False,0,True,117.720116,1078.7344,2287,76561198995880877,zont1x
876,[],100,False,0,False,167.1503,1078.7344,2287,76561198201620490,broky
885,[],19,False,0,False,119.21842,1078.75,2288,76561198995880877,zont1x
886,[],100,False,0,False,173.51222,1078.75,2288,76561198201620490,broky
895,[],19,False,0,False,120.71972,1078.7656,2289,76561198995880877,zont1x
896,[],100,False,0,False,179.59346,1078.7656,2289,76561198201620490,broky
905,[],19,False,0,False,122.20875,1078.7812,2290,76561198995880877,zont1x
906,[],100,False,0,False,172.50948,1078.7812,2290,76561198201620490,broky
915,[],19,False,0,False,123.71962,1078.7969,2291,76561198995880877,zont1x
916,[],100,False,0,False,152.39046,1078.7969,2291,76561198201620490,broky
925,[],19,False,0,False,125.22391,1078.8125,2292,76561198995880877,zont1x
926,[],100,False,0,False,156.83403,1078.8125,2292,76561198201620490,broky
935,[],19,False,0,False,126.714714,1078.8281,2293,76561198995880877,zont1x
936,[],100,False,0,False,159.56816,1078.8281,2293,76561198201620490,broky
945,[],19,False,0,False,128.21948,1078.8438,2294,76561198995880877,zont1x
946,[],100,False,0,False,160.64244,1078.8438,2294,76561198201620490,broky
955,[],19,False,0,False,129.71732,1078.8594,2295,76561198995880877,zont1x
956,[],100,False,0,False,162.92221,1078.8594,2295,76561198201620490,broky
965,[],19,False,0,False,123.49083,1078.875,2296,76561198995880877,zont1x
966,[],100,False,0,False,32.226562,1078.875,2296,76561198201620490,broky
975,[],19,False,0,False,91.216354,1078.8906,2297,76561198995880877,zont1x
976,[],100,False,0,False,0.0,1078.8906,2297,76561198201620490,broky
985,[],19,False,0,False,57.99993,1078.9062,2298,76561198995880877,zont1x
986,[],100,False,0,False,0.0,1078.9062,2298,76561198201620490,broky
995,[],19,False,0,False,30.86493,1078.9219,2299,76561198995880877,zont1x
996,[],100,False,0,False,0.0,1078.9219,2299,76561198201620490,broky
1005,[],19,False,0,False,3.762974,1078.9375,2300,76561198995880877,zont1x
1006,[],100,False,0,False,0.0,1078.9375,2300,76561198201620490,broky
1015,[],19,False,1,False,1.6358562,1078.9531,2301,76561198995880877,zont1x
1016,[],100,False,0,False,0.0,1078.9531,2301,76561198201620490,broky
1025,[],19,False,1,True,1.5793622,1078.9688,2302,76561198995880877,zont1x
1026,[],100,False,0,False,0.0,1078.9688,2302,76561198201620490,broky
1035,[],19,False,1,True,21.753693,1078.9844,2303,76561198995880877,zont1x
1036,[],100,False,0,False,12.125003,1078.9844,2303,76561198201620490,broky
1045,[],19,False,1,True,38.692024,1079.0,2304,76561198995880877,zont1x
1046,[],100,False,0,False,17.765627,1079.0,2304,76561198201620490,broky
1055,[],19,False,1,True,52.821033,1079.0156,2305,76561198995880877,zont1x
1056,[],100,False,0,False,23.375002,1079.0156,2305,76561198201620490,broky
1065,[],19,False,1,True,66.9502,1079.0312,2306,76561198995880877,zont1x
1066,[],100,False,0,False,29.031254,1079.0312,2306,76561198201620490,broky
1075,[],19,False,1,True,81.07939,1079.0469,2307,76561198995880877,zont1x
1076,[],100,False,0,False,34.625,1079.0469,2307,76561198201620490,broky
1085,[],19,False,1,True,95.117775,1079.0625,2308,76561198995880877,zont1x
1086,[],100,False,0,False,40.265625,1079.0625,2308,76561198201620490,broky
1095,[],19,False,0,True,108.00313,1079.0781,2309,76561198995880877,zont1x
1096,[],100,False,0,False,46.734375,1079.0781,2309,76561198201620490,broky
1105,[],19,False,0,False,119.86828,1079.0938,2310,76561198995880877,zont1x
1106,[],100,False,0,False,59.1875,1079.0938,2310,76561198201620490,broky
1115,[],19,False,0,False,130.7761,1079.1094,2311,76561198995880877,zont1x
1116,[],100,False,0,False,55.468754,1079.1094,2311,76561198201620490,broky
1125,[],19,False,0,False,140.77551,1079.125,2312,76561198995880877,zont1x
1126,[],100,False,0,False,48.32813,1079.125,2312,76561198201620490,broky
1135,[],19,False,0,False,149.97142,1079.1406,2313,76561198995880877,zont1x
1136,[],100,False,0,False,41.82813,1079.1406,2313,76561198201620490,broky
1145,[],19,False,0,False,158.21692,1079.1562,2314,76561198995880877,zont1x
1146,[],100,False,0,False,35.32813,1079.1562,2314,76561198201620490,broky
1155,[],19,False,0,False,159.7122,1079.1719,2315,76561198995880877,zont1x
1156,[],100,False,0,False,29.85944,1079.1719,2315,76561198201620490,broky
1165,[],19,False,0,False,161.2145,1079.1875,2316,76561198995880877,zont1x
1166,[],100,False,0,False,19.265625,1079.1875,2316,76561198201620490,broky
1175,[],19,False,0,False,162.7169,1079.2031,2317,76561198995880877,zont1x
1176,[],100,False,0,False,9.670363,1079.2031,2317,76561198201620490,broky
1185,[],19,False,0,False,164.21231,1079.2188,2318,76561198995880877,zont1x
1186,[],100,False,0,False,19.748621,1079.2188,2318,76561198201620490,broky
1195,[],19,False,0,False,163.54143,1079.2344,2319,76561198995880877,zont1x
1196,[],100,False,0,False,13.96875,1079.2344,2319,76561198201620490,broky
1205,[],19,False,0,False,150.50237,1079.25,2320,76561198995880877,zont1x
1206,[],100,False,0,False,3.546875,1079.25,2320,76561198201620490,broky
1215,[],19,False,0,False,135.55551,1079.2656,2321,76561198995880877,zont1x
1216,[],100,False,0,False,13.203127,1079.2656,2321,76561198201620490,broky
1225,[],19,False,0,False,125.79358,1079.2812,2322,76561198995880877,zont1x
1226,[],100,False,0,False,18.765627,1079.2812,2322,76561198201620490,broky
1235,[],19,False,0,False,136.1424,1079.2969,2323,76561198995880877,zont1x
1236,[],100,False,0,False,24.35938,1079.2969,2323,76561198201620490,broky
1245,[],19,False,0,False,146.5122,1079.3125,2324,76561198995880877,zont1x
1246,[],100,False,0,False,31.491955,1079.3125,2324,76561198201620490,broky
1255,[],19,False,0,False,155.23291,1079.3281,2325,76561198995880877,zont1x
1256,[],100,False,0,False,38.56702,1079.3281,2325,76561198201620490,broky
1265,[],19,False,0,False,163.24092,1079.3438,2326,76561198995880877,zont1x
1266,[],100,False,0,False,36.8397,1079.3438,2326,76561198201620490,broky
1275,[],19,False,0,False,170.61343,1079.3594,2327,76561198995880877,zont1x
1276,[],100,False,0,False,29.287525,1079.3594,2327,76561198201620490,broky
1285,[],19,False,0,False,177.37389,1079.375,2328,76561198995880877,zont1x
1286,[],100,False,0,False,19.75382,1079.375,2328,76561198201620490,broky
1295,[],19,False,0,False,180.71446,1079.3906,2329,76561198995880877,zont1x
1296,[],100,False,0,False,11.792746,1079.3906,2329,76561198201620490,broky
1305,[],19,False,0,False,182.2131,1079.4062,2330,76561198995880877,zont1x
1306,[],100,False,0,False,3.767934,1079.4062,2330,76561198201620490,broky
1315,[],19,False,0,False,183.71432,1079.4219,2331,76561198995880877,zont1x
1316,[],100,False,0,False,0.6101757,1079.4219,2331,76561198201620490,broky
1325,[],19,False,0,False,185.29308,1079.4375,2332,76561198995880877,zont1x
1326,[],100,False,0,False,8.574425,1079.4375,2332,76561198201620490,broky
1335,[],19,False,0,False,186.98448,1079.4531,2333,76561198995880877,zont1x
1336,[],100,False,0,False,16.456205,1079.4531,2333,76561198201620490,broky
1345,[],19,False,0,False,188.21545,1079.4688,2334,76561198995880877,zont1x
1346,[],100,False,0,False,23.365496,1079.4688,2334,76561198201620490,broky
1355,[],19,False,0,False,189.7194,1079.4844,2335,76561198995880877,zont1x
1356,[],100,False,0,False,30.277122,1079.4844,2335,76561198201620490,broky
1365,[],19,False,0,False,190.48857,1079.5,2336,76561198995880877,zont1x
1366,[],100,False,0,False,37.169304,1079.5,2336,76561198201620490,broky
1375,[],19,False,0,False,189.2967,1079.5156,2337,76561198995880877,zont1x
1376,[],100,False,0,False,44.0957,1079.5156,2337,76561198201620490,broky
1385,[],19,False,0,False,187.77383,1079.5312,2338,76561198995880877,zont1x
1386,[],100,False,0,False,50.98788,1079.5312,2338,76561198201620490,broky
1395,[],19,False,0,False,187.5896,1079.5469,2339,76561198995880877,zont1x
1396,[],100,False,0,False,57.91506,1079.5469,2339,76561198201620490,broky
1405,[],19,False,0,False,188.41937,1079.5625,2340,76561198995880877,zont1x
1406,[],100,False,0,False,64.82356,1079.5625,2340,76561198201620490,broky
1415,[],19,False,0,False,190.03636,1079.5781,2341,76561198995880877,zont1x
1416,[],100,False,0,False,71.73286,1079.5781,2341,76561198201620490,broky
1425,[],19,False,0,False,192.21426,1079.5938,2342,76561198995880877,zont1x
1426,[],100,False,0,False,63.6303,1079.5938,2342,76561198201620490,broky
1435,[],19,False,0,False,194.79143,1079.6094,2343,76561198995880877,zont1x
1436,[],100,False,0,False,59.17795,1079.6094,2343,76561198201620490,broky
1445,[],19,False,0,True,197.60953,1079.625,2344,76561198995880877,zont1x
1446,[],100,False,0,False,61.590343,1079.625,2344,76561198201620490,broky
1455,[],19,False,0,True,200.57707,1079.6406,2345,76561198995880877,zont1x
1456,[],100,False,0,False,68.92236,1079.6406,2345,76561198201620490,broky
1465,[],19,False,0,True,203.59724,1079.6562,2346,76561198995880877,zont1x
1466,[],100,False,0,False,79.12796,1079.6562,2346,76561198201620490,broky
1475,[],19,False,0,True,206.6072,1079.6719,2347,76561198995880877,zont1x
1476,[],100,False,0,False,90.887146,1079.6719,2347,76561198201620490,broky
1485,[],19,False,0,True,209.2146,1079.6875,2348,76561198995880877,zont1x
1486,[],100,False,0,False,102.62093,1079.6875,2348,76561198201620490,broky
1495,[],19,False,0,True,210.71887,1079.7031,2349,76561198995880877,zont1x
1496,[],100,False,0,False,113.939575,1079.7031,2349,76561198201620490,broky
1505,[],19,False,0,True,212.22842,1079.7188,2350,76561198995880877,zont1x
1506,[],100,False,0,False,121.872345,1079.7188,2350,76561198201620490,broky
1515,[],19,False,0,False,212.7984,1079.7344,2351,76561198995880877,zont1x
1516,[],100,False,0,False,130.7066,1079.7344,2351,76561198201620490,broky
1525,[],19,False,0,False,214.01321,1079.75,2352,76561198995880877,zont1x
1526,[],100,False,0,False,140.58192,1079.75,2352,76561198201620490,broky
1535,[],19,False,0,False,215.41342,1079.7656,2353,76561198995880877,zont1x
1536,[],100,False,0,False,148.84636,1079.7656,2353,76561198201620490,broky
1545,[],19,False,0,False,216.99854,1079.7812,2354,76561198995880877,zont1x
1546,[],100,False,0,False,156.66245,1079.7812,2354,76561198201620490,broky
1555,[],19,False,0,False,218.73062,1079.7969,2355,76561198995880877,zont1x
1556,[],100,False,0,False,164.01056,1079.7969,2355,76561198201620490,broky
1565,[],19,False,0,False,220.54855,1079.8125,2356,76561198995880877,zont1x
1566,[],100,False,0,False,168.38489,1079.8125,2356,76561198201620490,broky
1575,[],19,False,0,False,222.39432,1079.8281,2357,76561198995880877,zont1x
1576,[],100,False,0,False,173.02242,1079.8281,2357,76561198201620490,broky
1585,[],19,False,0,False,224.2172,1079.8438,2358,76561198995880877,zont1x
1586,[],100,False,0,False,177.78168,1079.8438,2358,76561198201620490,broky
1595,[],19,False,0,False,225.71506,1079.8594,2359,76561198995880877,zont1x
1596,[],100,False,0,False,182.51486,1079.8594,2359,76561198201620490,broky
1605,[],19,False,0,False,227.21799,1079.875,2360,76561198995880877,zont1x
1606,[],100,False,0,False,186.026,1079.875,2360,76561198201620490,broky
1615,[],19,False,0,False,228.71759,1079.8906,2361,76561198995880877,zont1x
1616,[],100,False,0,False,189.64468,1079.8906,2361,76561198201620490,broky
1625,[],19,False,0,False,228.10052,1079.9062,2362,76561198995880877,zont1x
1626,[],100,False,0,False,194.19379,1079.9062,2362,76561198201620490,broky
1635,[],19,False,0,False,227.25487,1079.9219,2363,76561198995880877,zont1x
1636,[],100,False,0,False,197.95074,1079.9219,2363,76561198201620490,broky
1645,[],19,False,0,False,226.95001,1079.9375,2364,76561198995880877,zont1x
1646,[],100,False,0,False,201.61555,1079.9375,2364,76561198201620490,broky
1655,[],19,False,0,False,227.1439,1079.9531,2365,76561198995880877,zont1x
1656,[],100,False,0,False,205.17996,1079.9531,2365,76561198201620490,broky
1665,[],19,False,0,False,227.63992,1079.9688,2366,76561198995880877,zont1x
1666,[],100,False,0,False,208.60336,1079.9688,2366,76561198201620490,broky
1675,[],19,False,0,False,228.39018,1079.9844,2367,76561198995880877,zont1x
1676,[],100,False,0,False,211.8729,1079.9844,2367,76561198201620490,broky
1685,[],19,False,0,False,229.30281,1080.0,2368,76561198995880877,zont1x
1686,[],100,False,0,False,214.97987,1080.0,2368,76561198201620490,broky
1695,[],19,False,0,False,230.33945,1080.0156,2369,76561198995880877,zont1x
1696,[],100,False,0,False,217.92946,1080.0156,2369,76561198201620490,broky
1705,[],19,False,0,False,231.37044,1080.0312,2370,76561198995880877,zont1x
1706,[],100,False,0,False,220.65732,1080.0312,2370,76561198201620490,broky
1715,[],19,False,0,False,230.75009,1080.0469,2371,76561198995880877,zont1x
1716,[],100,False,0,False,223.24234,1080.0469,2371,76561198201620490,broky
1725,[],19,False,0,False,230.56454,1080.0625,2372,76561198995880877,zont1x
1726,[],100,False,0,False,225.63097,1080.0625,2372,76561198201620490,broky
1735,[],19,False,0,False,230.80745,1080.0781,2373,76561198995880877,zont1x
1736,[],100,False,0,False,227.85608,1080.0781,2373,76561198201620490,broky
1745,[],19,False,0,False,231.36092,1080.0938,2374,76561198995880877,zont1x
1746,[],100,False,0,False,229.8974,1080.0938,2374,76561198201620490,broky
1755,[],19,False,0,True,232.15234,1080.1094,2375,76561198995880877,zont1x
1756,[],100,False,0,False,231.81325,1080.1094,2375,76561198201620490,broky
1765,[],19,False,0,True,233.10034,1080.125,2376,76561198995880877,zont1x
1766,[],100,False,0,False,233.58592,1080.125,2376,76561198201620490,broky
1775,[],19,False,0,True,234.13379,1080.1406,2377,76561198995880877,zont1x
1776,[],100,False,0,False,235.21301,1080.1406,2377,76561198201620490,broky
1785,[],19,False,0,True,235.18599,1080.1562,2378,76561198995880877,zont1x
1786,[],100,False,0,False,236.55412,1080.1562,2378,76561198201620490,broky
1795,[],19,False,0,True,236.2696,1080.1719,2379,76561198995880877,zont1x
1796,[],100,False,0,False,232.03865,1080.1719,2379,76561198201620490,broky
1805,[],19,False,0,True,237.31013,1080.1875,2380,76561198995880877,zont1x
1806,[],100,False,0,False,228.63037,1080.1875,2380,76561198201620490,broky
1815,[],19,False,0,True,238.34543,1080.2031,2381,76561198995880877,zont1x
1816,[],100,False,0,False,226.56934,1080.2031,2381,76561198201620490,broky
1825,[],19,False,0,True,239.33426,1080.2188,2382,76561198995880877,zont1x
1826,[],100,False,0,False,225.38629,1080.2188,2382,76561198201620490,broky
1835,[],19,False,0,False,239.99806,1080.2344,2383,76561198995880877,zont1x
1836,[],100,False,0,False,224.87416,1080.2344,2383,76561198201620490,broky
1845,[],19,False,0,False,239.998,1080.25,2384,76561198995880877,zont1x
1846,[],100,False,0,False,224.88945,1080.25,2384,76561198201620490,broky
1855,[],19,False,0,False,239.99649,1080.2656,2385,76561198995880877,zont1x
1856,[],100,False,0,False,225.31691,1080.2656,2385,76561198201620490,broky
1865,[],19,False,0,False,240.00128,1080.2812,2386,76561198995880877,zont1x
